date,open,high,close,low,volume,price_change,p_change
2016-04-06,2274.772,2305.409,2297.041,2271.502,20912036.0,17.521,0.77
2016-04-05,2207.464,2285.201,2279.52,2205.438,19764938.0,74.151,3.36
2016-04-01,2223.377,2226.998,2205.369,2171.341,15701246.0,-32.917,-1.47
2016-03-31,2256.431,2271.964,2238.286,2232.302,18124976.0,-10.497,-0.47
2016-03-30,2172.741,2248.783,2248.783,2172.741,17405976.0,96.235,4.47
2016-03-29,2190.875,2194.885,2152.548,2130.851,14170516.0,-47.137,-2.14
2016-03-28,2233.131,2259.131,2199.685,2192.35,16260472.0,-16.401,-0.74
2016-03-25,2209.26,2232.073,2216.086,2183.601,15154009.0,-3.684,-0.17
2016-03-24,2234.215,2277.917,2219.77,2217.843,21400930.0,-39.336,-1.74
2016-03-23,2214.87,2259.106,2259.106,2205.072,19052794.0,37.404,1.68
2016-03-22,2201.194,2248.186,2221.702,2189.935,21060006.0,-5.332,-0.24
2016-03-21,2214.913,2234.35,2227.034,2191.662,25540998.0,49.164,2.26
2016-03-18,2102.19,2194.355,2177.87,2102.079,25596840.0,90.577,4.34
2016-03-17,1986.144,2089.136,2087.293,1986.144,21074140.0,109.755,5.55
2016-03-16,2029.919,2039.486,1977.538,1961.418,12220455.0,-19.382,-0.97
2016-03-15,2016.807,2034.702,1996.92,1995.456,12167060.0,-26.208,-1.29
2016-03-14,1962.105,2048.497,2023.128,1962.105,16134405.0,88.258,4.56
2016-03-11,1911.325,1948.601,1934.87,1903.924,8487656.0,-2.098,-0.11
2016-03-10,1968.766,1991.357,1936.968,1935.119,10508018.0,-33.845,-1.72
2016-03-09,1962.277,2015.706,1970.813,1947.045,13303672.0,-31.378,-1.57
2016-03-08,1944.648,2002.191,2002.191,1865.65,15627422.0,48.859,2.5
2016-03-07,1935.093,1995.937,1953.332,1935.093,11623161.0,46.291,2.43
2016-03-04,1994.061,2003.689,1907.041,1895.396,15220975.0,-100.035,-4.98
2016-03-03,2014.179,2063.531,2007.076,2006.707,16805474.0,-10.528,-0.52
2016-03-02,1930.842,2022.863,2017.604,1925.023,16949154.0,82.685,4.27
2016-03-01,1881.321,1952.432,1934.919,1841.224,13456661.0,54.773,2.91
2016-02-29,2000.572,2000.572,1880.146,1866.25,13247568.0,-134.774,-6.69
2016-02-26,2045.51,2057.802,2014.92,1980.166,12366693.0,-22.223,-1.09
2016-02-25,2198.928,2198.928,2037.143,2030.42,15298955.0,-166.598,-7.56
2016-02-24,2212.589,2230.006,2203.741,2154.274,12884022.0,-14.378,-0.65
2016-02-23,2245.75,2249.691,2218.119,2189.527,13926610.0,-27.445,-1.22
2016-02-22,2235.17,2245.564,2245.564,2216.156,15090615.0,34.558,1.56
2016-02-19,2186.015,2230.216,2211.006,2182.959,13407242.0,20.095,0.92
2016-02-18,2230.799,2239.91,2190.911,2188.187,14019501.0,-24.43,-1.1
2016-02-17,2197.925,2219.783,2215.341,2170.998,14618497.0,13.416,0.61
2016-02-16,2128.056,2208.572,2201.925,2128.056,13912171.0,85.087,4.02
2016-02-15,2029.556,2130.362,2116.838,2029.556,10100668.0,19.852,0.95
2016-02-05,2127.347,2141.556,2096.986,2096.986,9064703.0,-29.65,-1.39
2016-02-04,2095.617,2142.869,2126.636,2095.617,13143008.0,36.123,1.73
2016-02-03,2049.324,2105.38,2090.513,2034.602,12089846.0,15.226,0.73
2016-02-02,1996.594,2089.214,2075.287,1996.594,13287649.0,82.592,4.14
2016-02-01,1989.207,2011.679,1992.695,1956.92,11156089.0,-1.37,-0.07
2016-01-29,1908.262,2011.057,1994.065,1907.289,12809875.0,87.604,4.59
2016-01-28,1969.309,1990.916,1906.461,1900.882,11454204.0,-91.004,-4.56
2016-01-27,1997.316,2012.296,1997.465,1888.25,15926521.0,3.418,0.17
2016-01-26,2132.217,2135.565,1994.047,1990.514,13385708.0,-164.777,-7.63
2016-01-25,2165.726,2185.213,2158.824,2136.875,11334178.0,9.238,0.43
2016-01-22,2140.281,2161.236,2149.586,2078.117,13609891.0,37.182,1.76
2016-01-21,2173.315,2241.471,2112.404,2112.404,14945203.0,-92.244,-4.18
2016-01-20,2222.601,2249.355,2204.648,2190.505,15451189.0,-37.048,-1.65
2016-01-19,2170.094,2244.785,2241.696,2148.72,17700322.0,66.762,3.07
2016-01-18,2074.858,2206.835,2174.934,2074.858,16267627.0,62.032,2.94
2016-01-15,2160.174,2184.563,2112.902,2096.186,15910294.0,-62.11,-2.86
2016-01-14,1991.232,2179.379,2175.012,1989.865,15648666.0,115.236,5.59
2016-01-13,2160.323,2174.227,2059.776,2059.776,12465369.0,-87.755,-4.09
2016-01-12,2117.251,2179.088,2147.531,2087.272,14396597.0,41.173,1.96
